,0
prev_denial_rate,0.2019790472690133
sector_Manufacturing,0.16808891358090744
sector_Health care/social assistance,0.1584434711680111
fy_cat_2022,0.1511673010237338
fy_cat_2021,0.15064381326282447
sector_Educational services,0.14563083945370225
sector_Professional/scientific/technical,0.12541601287071988
continuing_share,0.11815977856231226
sector_Finance/insurance,0.10747493634231615
sector_Information,0.10485012884627336
fy_cat_2018,0.10073127715868209
sector_Construction,0.0773248517491741
